"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"AGENCYB.afm.gz","C:\Windows\Fonts\AGENCYB.TTF","Agency FB Bold","Agency FB","AgencyFB-Bold",TRUE,FALSE,FALSE,NA
NA,"AGENCYR.afm.gz","C:\Windows\Fonts\AGENCYR.TTF","Agency FB","Agency FB","AgencyFB-Reg",FALSE,FALSE,FALSE,NA
NA,"saswalr.afm.gz","C:\Windows\Fonts\saswalr.ttf","Albany AMT","Albany AMT","AlbanyAMT",FALSE,FALSE,FALSE,NA
NA,"saswalb.afm.gz","C:\Windows\Fonts\saswalb.ttf","Albany AMT Bold","Albany AMT","AlbanyAMT-Bold",TRUE,FALSE,FALSE,NA
NA,"saswalbi.afm.gz","C:\Windows\Fonts\saswalbi.ttf","Albany AMT Bold Italic","Albany AMT","AlbanyAMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"saswali.afm.gz","C:\Windows\Fonts\saswali.ttf","Albany AMT Italic","Albany AMT","AlbanyAMT-Italic",FALSE,TRUE,FALSE,NA
NA,"ALGER.afm.gz","C:\Windows\Fonts\ALGER.TTF","Algerian","Algerian","Algerian",FALSE,FALSE,FALSE,NA
NA,"ariblk.afm.gz","C:\Windows\Fonts\ariblk.ttf","Arial Black","Arial Black","Arial-Black",FALSE,FALSE,FALSE,NA
NA,"arialbi.afm.gz","C:\Windows\Fonts\arialbi.ttf","Arial Bold Italic","Arial","Arial-BoldItalicMT",TRUE,TRUE,FALSE,NA
NA,"arialbd.afm.gz","C:\Windows\Fonts\arialbd.ttf","Arial Bold","Arial","Arial-BoldMT",TRUE,FALSE,FALSE,NA
NA,"ariali.afm.gz","C:\Windows\Fonts\ariali.ttf","Arial Italic","Arial","Arial-ItalicMT",FALSE,TRUE,FALSE,NA
NA,"arial.afm.gz","C:\Windows\Fonts\arial.ttf","Arial","Arial","ArialMT",FALSE,FALSE,FALSE,NA
NA,"ARIALN.afm.gz","C:\Windows\Fonts\ARIALN.TTF","Arial Narrow","Arial Narrow","ArialNarrow",FALSE,FALSE,FALSE,NA
NA,"ARIALNB.afm.gz","C:\Windows\Fonts\ARIALNB.TTF","Arial Narrow Bold","Arial Narrow","ArialNarrow-Bold",TRUE,FALSE,FALSE,NA
NA,"ARIALNBI.afm.gz","C:\Windows\Fonts\ARIALNBI.TTF","Arial Narrow Bold Italic","Arial Narrow","ArialNarrow-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"ARIALNI.afm.gz","C:\Windows\Fonts\ARIALNI.TTF","Arial Narrow Italic","Arial Narrow","ArialNarrow-Italic",FALSE,TRUE,FALSE,NA
NA,"ARLRDBD.afm.gz","C:\Windows\Fonts\ARLRDBD.TTF","Arial Rounded MT Bold","Arial Rounded MT Bold","ArialRoundedMTBold",FALSE,FALSE,FALSE,NA
NA,"sasgasr.afm.gz","C:\Windows\Fonts\sasgasr.ttf","Arial Symbol","Arial Symbol","ArialSymbol",FALSE,FALSE,TRUE,NA
NA,"sasgasb.afm.gz","C:\Windows\Fonts\sasgasb.ttf","Arial Symbol Bold","Arial Symbol","ArialSymbol-Bold",TRUE,FALSE,TRUE,NA
NA,"sasgasbi.afm.gz","C:\Windows\Fonts\sasgasbi.ttf","Arial Symbol Bold Italic","Arial Symbol","ArialSymbol-BoldItalic",TRUE,TRUE,TRUE,NA
NA,"sasgasi.afm.gz","C:\Windows\Fonts\sasgasi.ttf","Arial Symbol Italic","Arial Symbol","ArialSymbol-Italic",FALSE,TRUE,TRUE,NA
NA,"arialuni.afm.gz","C:\Windows\Fonts\arialuni.ttf","Arial Unicode MS","Arial Unicode MS","ArialUnicodeMS",FALSE,FALSE,FALSE,NA
NA,"avncyrd.afm.gz","C:\Windows\Fonts\avncyrd.ttf","Avenir Next Cyr W04 Demi","Avenir Next Cyr W04 Demi","AvenirNextCyrW04-Demi",FALSE,FALSE,FALSE,NA
NA,"avncyrdi.afm.gz","C:\Windows\Fonts\avncyrdi.ttf","Avenir Next Cyr W04 Demi Italic","Avenir Next Cyr W04 Demi Italic","AvenirNextCyrW04-DemiIt",FALSE,FALSE,FALSE,NA
NA,"avncyri.afm.gz","C:\Windows\Fonts\avncyri.ttf","Avenir Next Cyr W04 Italic","Avenir Next Cyr W04 Italic","AvenirNextCyrW04-Italic",FALSE,TRUE,FALSE,NA
NA,"avncyrl.afm.gz","C:\Windows\Fonts\avncyrl.ttf","Avenir Next Cyr W04 Light","Avenir Next Cyr W04 Light","AvenirNextCyrW04-Light",FALSE,FALSE,FALSE,NA
NA,"avncyrli.afm.gz","C:\Windows\Fonts\avncyrli.ttf","Avenir Next Cyr W04 Light It","Avenir Next Cyr W04 Light It","AvenirNextCyrW04-LightIt",FALSE,FALSE,FALSE,NA
NA,"avncyrr.afm.gz","C:\Windows\Fonts\avncyrr.ttf","Avenir Next Cyr W04 Regular","Avenir Next Cyr W04 Regular","AvenirNextCyrW04-Regular",FALSE,FALSE,FALSE,NA
NA,"avnltd.afm.gz","C:\Windows\Fonts\avnltd.ttf","Avenir Next LT W04 Demi","Avenir Next LT W04 Demi","AvenirNextLTW04-Demi",FALSE,FALSE,FALSE,NA
NA,"avnltdi.afm.gz","C:\Windows\Fonts\avnltdi.ttf","Avenir Next LT W04 Demi Italic","Avenir Next LT W04 Demi Italic","AvenirNextLTW04-DemiItalic",FALSE,TRUE,FALSE,NA
NA,"avnlti.afm.gz","C:\Windows\Fonts\avnlti.ttf","Avenir Next LT W04 Italic","Avenir Next LT W04 Italic","AvenirNextLTW04-Italic",FALSE,TRUE,FALSE,NA
NA,"avnltl.afm.gz","C:\Windows\Fonts\avnltl.ttf","Avenir Next LT W04 Light","Avenir Next LT W04 Light","AvenirNextLTW04-Light",FALSE,FALSE,FALSE,NA
NA,"avnltli.afm.gz","C:\Windows\Fonts\avnltli.ttf","Avenir Next LT W04 Light Italic","Avenir Next LT W04 Light Italic","AvenirNextLTW04-LightIt",FALSE,FALSE,FALSE,NA
NA,"avnltr.afm.gz","C:\Windows\Fonts\avnltr.ttf","Avenir Next LT W04 Regular","Avenir Next LT W04 Regular","AvenirNextLTW04-Regular",FALSE,FALSE,FALSE,NA
NA,"BASKVILL.afm.gz","C:\Windows\Fonts\BASKVILL.TTF","Baskerville Old Face","Baskerville Old Face","BaskOldFace",FALSE,FALSE,FALSE,NA
NA,"BAUHS93.afm.gz","C:\Windows\Fonts\BAUHS93.TTF","Bauhaus 93","Bauhaus 93","Bauhaus93",FALSE,FALSE,FALSE,NA
NA,"BELL.afm.gz","C:\Windows\Fonts\BELL.TTF","Bell MT","Bell MT","BellMT",FALSE,FALSE,FALSE,NA
NA,"BELLB.afm.gz","C:\Windows\Fonts\BELLB.TTF","Bell MT Bold","Bell MT","BellMTBold",TRUE,FALSE,FALSE,NA
NA,"BELLI.afm.gz","C:\Windows\Fonts\BELLI.TTF","Bell MT Italic","Bell MT","BellMTItalic",FALSE,TRUE,FALSE,NA
NA,"BRLNSB.afm.gz","C:\Windows\Fonts\BRLNSB.TTF","Berlin Sans FB Bold","Berlin Sans FB","BerlinSansFB-Bold",TRUE,FALSE,FALSE,NA
NA,"BRLNSR.afm.gz","C:\Windows\Fonts\BRLNSR.TTF","Berlin Sans FB","Berlin Sans FB","BerlinSansFB-Reg",FALSE,FALSE,FALSE,NA
NA,"BRLNSDB.afm.gz","C:\Windows\Fonts\BRLNSDB.TTF","Berlin Sans FB Demi Bold","Berlin Sans FB Demi","BerlinSansFBDemi-Bold",TRUE,FALSE,FALSE,NA
NA,"BERNHC.afm.gz","C:\Windows\Fonts\BERNHC.TTF","Bernard MT Condensed","Bernard MT Condensed","BernardMT-Condensed",FALSE,FALSE,FALSE,NA
NA,"ITCBLKAD.afm.gz","C:\Windows\Fonts\ITCBLKAD.TTF","Blackadder ITC","Blackadder ITC","BlackadderITC-Regular",FALSE,FALSE,FALSE,NA
NA,"BOD_R.afm.gz","C:\Windows\Fonts\BOD_R.TTF","Bodoni MT","Bodoni MT","BodoniMT",FALSE,FALSE,FALSE,NA
NA,"BOD_B.afm.gz","C:\Windows\Fonts\BOD_B.TTF","Bodoni MT Bold","Bodoni MT","BodoniMT-Bold",TRUE,FALSE,FALSE,NA
NA,"BOD_BI.afm.gz","C:\Windows\Fonts\BOD_BI.TTF","Bodoni MT Bold Italic","Bodoni MT","BodoniMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOD_I.afm.gz","C:\Windows\Fonts\BOD_I.TTF","Bodoni MT Italic","Bodoni MT","BodoniMT-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_BLAR.afm.gz","C:\Windows\Fonts\BOD_BLAR.TTF","Bodoni MT Black","Bodoni MT Black","BodoniMTBlack",FALSE,FALSE,FALSE,NA
NA,"BOD_BLAI.afm.gz","C:\Windows\Fonts\BOD_BLAI.TTF","Bodoni MT Black Italic","Bodoni MT Black","BodoniMTBlack-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_CR.afm.gz","C:\Windows\Fonts\BOD_CR.TTF","Bodoni MT Condensed","Bodoni MT Condensed","BodoniMTCondensed",FALSE,FALSE,FALSE,NA
NA,"BOD_CB.afm.gz","C:\Windows\Fonts\BOD_CB.TTF","Bodoni MT Condensed Bold","Bodoni MT Condensed","BodoniMTCondensed-Bold",TRUE,FALSE,FALSE,NA
NA,"BOD_CBI.afm.gz","C:\Windows\Fonts\BOD_CBI.TTF","Bodoni MT Condensed Bold Italic","Bodoni MT Condensed","BodoniMTCondensed-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOD_CI.afm.gz","C:\Windows\Fonts\BOD_CI.TTF","Bodoni MT Condensed Italic","Bodoni MT Condensed","BodoniMTCondensed-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_PSTC.afm.gz","C:\Windows\Fonts\BOD_PSTC.TTF","Bodoni MT Poster Compressed","Bodoni MT Poster Compressed","BodoniMTPosterCompressed",FALSE,FALSE,FALSE,NA
NA,"BKANT.afm.gz","C:\Windows\Fonts\BKANT.TTF","Book Antiqua","Book Antiqua","BookAntiqua",FALSE,FALSE,FALSE,NA
NA,"ANTQUAB.afm.gz","C:\Windows\Fonts\ANTQUAB.TTF","Book Antiqua Bold","Book Antiqua","BookAntiqua-Bold",TRUE,FALSE,FALSE,NA
NA,"ANTQUABI.afm.gz","C:\Windows\Fonts\ANTQUABI.TTF","Book Antiqua Bold Italic","Book Antiqua","BookAntiqua-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"ANTQUAI.afm.gz","C:\Windows\Fonts\ANTQUAI.TTF","Book Antiqua Italic","Book Antiqua","BookAntiqua-Italic",FALSE,TRUE,FALSE,NA
NA,"BOOKOS.afm.gz","C:\Windows\Fonts\BOOKOS.TTF","Bookman Old Style","Bookman Old Style","BookmanOldStyle",FALSE,FALSE,FALSE,NA
NA,"BOOKOSB.afm.gz","C:\Windows\Fonts\BOOKOSB.TTF","Bookman Old Style Bold","Bookman Old Style","BookmanOldStyle-Bold",TRUE,FALSE,FALSE,NA
NA,"BOOKOSBI.afm.gz","C:\Windows\Fonts\BOOKOSBI.TTF","Bookman Old Style Bold Italic","Bookman Old Style","BookmanOldStyle-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOOKOSI.afm.gz","C:\Windows\Fonts\BOOKOSI.TTF","Bookman Old Style Italic","Bookman Old Style","BookmanOldStyle-Italic",FALSE,TRUE,FALSE,NA
NA,"BSSYM7.afm.gz","C:\Windows\Fonts\BSSYM7.TTF","Bookshelf Symbol 7","Bookshelf Symbol 7","BookshelfSymbolSeven",FALSE,FALSE,TRUE,NA
NA,"BRADHITC.afm.gz","C:\Windows\Fonts\BRADHITC.TTF","Bradley Hand ITC","Bradley Hand ITC","BradleyHandITC",FALSE,FALSE,FALSE,NA
